145;CFT. Instituto Técnológico de Chile - I.T.C.;false
146;CFT. IPROSEC;false
147;CFT. Javiera Carrera;false
148;CFT. Jorge Alvarez Echeverría;false
149;CFT. Juan Bohon;false
150;CFT. La Araucana;false
151;CFT. LAPLACE o de Estudios Superiores y Capacitación Profesional LAPLACE;false
152;CFT. Los Leones;false
153;CFT. Lota-Arauco;false
154;CFT. Luis Alberto Vera;false
155;CFT. Magnos;false
156;CFT. Manpower;false
157;CFT. Massachusetts;false
158;CFT. Osorno;false
159;CFT. PRODATA;false
160;CFT. PROFASOC;false
161;CFT. PROTEC;false
162;CFT. Salesianos Don Bosco;false
163;CFT. San Agustín de Talca;false
164;CFT. Santo Tomás;false
165;CFT. Simón Bolivar;false
166;CFT. SOEDUC Aconcagua;false
167;CFT. Teodoro Wickel Kluwen;false
168;CFT. U. Valpo (ex Eugenio González Rojas);false
169;CFT. UCEVALPO;false
170;CFT. UDA;false
